"SourceProject","SourceRelativePath","DestinationRelativePath","SizeBytes","SHA256","Disposition"
"Spectrum-Aided-Vision-Classification",".gitattributes","","171","5540A51CACD2B0E72BBBDB81D317A5AD70F619DBBE1BC0592B6F4E41D6B5FB84","Incorporated into generated root .gitattributes"
"Spectrum-Aided-Vision-Classification",".gitignore","","74","0373B58F5B60E2A27B0FDD72CCB1FE5D6A913D309AB0D517AFA246AF58C4F967","Incorporated into generated root .gitignore"
"Spectrum-Aided-Vision-Classification","App\EXE\App.exe","SRC\Installer\Classification\App.exe","47428054","633E24662DA477CC11853A3ED1064017CD69D264B1E0F1AFB2ECFC1B5BC79812","Copied"
"Spectrum-Aided-Vision-Classification","App\Installer\SAVE_Classification_App_Installer.exe","SRC\Installer\Classification\SAVE_Classification_App_Installer.exe","437506385","4C62DF6B67C6FEA2698FD1B683E570E83DE23267274AE947F86BC0986F536F93","Copied"
"Spectrum-Aided-Vision-Classification","App\ISS\Spectrum-Aided-Vision-Classification.iss","SRC\Installer\Classification\Spectrum-Aided-Vision-Classification.iss","887","7253CB478E0E103157329B404852A0FAAC79BDEA1B29B492C9DD1B6A67219079","Copied"
"Spectrum-Aided-Vision-Classification","App\README.md","","563","CBE527BC28D448256C34C9B538E73CE732E96F013C90D27AC44157D949076595","Reviewed but omitted from simplified final repository"
"Spectrum-Aided-Vision-Classification","App\Source Code\app.py","SRC\Classification_App\app.py","26038","B51C4421CC0B086CB1F7F9596864E9BFC0DD29B98EA224E687C0810071099ACF","Copied; model path adjusted for merged repository layout"
"Spectrum-Aided-Vision-Classification","App\Source Code\App.spec","SRC\Classification_App\App.spec","933","A409F44FB9A2DA5A1FC6DBE87069885F4BBAC1E7C16A3771B968FF180A1E3280","Copied"
"Spectrum-Aided-Vision-Classification","App\Source Code\assets\camera.png","SRC\Classification_App\assets\camera.png","61948","4D5BED4B4FBAB7E56CB32BBC4A32259DFE72F7F602852854EB4EAD27D3FD1CAC","Copied"
"Spectrum-Aided-Vision-Classification","App\Source Code\assets\folder.png","SRC\Classification_App\assets\folder.png","15268","DEF98D3A13F540AB1BDAA47D57F7ED48A4DF186F7D844893AE9793D0866803F2","Copied"
"Spectrum-Aided-Vision-Classification","App\Source Code\assets\icon.ico","SRC\Classification_App\assets\icon.ico","4286","3D8DAE86FAEAAC9EAF3A237B1E07442D3A8A54E11B515B1D89CB25F1F87532F9","Original icon reviewed; replaced in merged repository with SMART Lab application icon"
"Spectrum-Aided-Vision-Classification","App\Source Code\assets\logo.png","SRC\Classification_App\assets\logo.png","4449","F9768B141DFFC77AB121AC0A562175368EBBB7A13E868A788A135EEB63FD8FC0","Original logo reviewed; replaced in merged repository with supplied SMART Lab logo"
"Spectrum-Aided-Vision-Classification","App\Source Code\assets\pause.png","SRC\Classification_App\assets\pause.png","15475","1B398858A7C32F9B95BE01556C75047F54B6F49F9F5C576E90C6870A5B7B63BB","Copied"
"Spectrum-Aided-Vision-Classification","App\Source Code\assets\save.png","SRC\Classification_App\assets\save.png","9983","A6A39B16CD0B1B2CEA60AB4810601DDAC18C661C19D7D0E6E596763F49B2B448","Copied"
"Spectrum-Aided-Vision-Classification","App\Source Code\assets\upload.png","SRC\Classification_App\assets\upload.png","5945","5DA7C2459248DA25F6A8B667BB59C0A9B13AB383CF1E9C0CA479999CE49F8F5C","Copied"
"Spectrum-Aided-Vision-Classification","Dataset\README.md","Dataset\README.md","726","6A79E264B1C4158C74213D56695DD3D7DECCBA6E1A98AA3C773507A855DD8ABE","Incorporated into concise generated Dataset/README.md"
"Spectrum-Aided-Vision-Classification","Documentation\Comprehensive_Document\Spectrum_Aided_Vision_Classification_Comprehensive_Document.docx","Documentation\Classification_Comprehensive_Document.docx","40033","71C9C312664E5CD8058DE85C51EABE36F9BD55AEF72BE48FB983ACEBF72432DD","Copied"
"Spectrum-Aided-Vision-Classification","Documentation\PPT\Spectrum_Aided_Vision_Classification_Presentation.pptx","Documentation\Classification_Source_Presentation.pptx","2216083","4D76F4121388F3D9BE6A3D65BD2F603B7BDD6D07DF46C6CA655D712703159FEA","Copied"
"Spectrum-Aided-Vision-Classification","Documentation\README.md","","412","A62ED995966148C3F67DE87EEB65F48703E2222343AC5B168B97E6F87A27249D","Reviewed but omitted from simplified final repository"
"Spectrum-Aided-Vision-Classification","Evaluation\inference.py","","2271","0DDF8C7162556337FEAA377E06C9470CFCBD4B0B61F9B19C2B91B01155C93915","Reviewed but omitted from simplified final repository"
"Spectrum-Aided-Vision-Classification","Evaluation\README.md","","353","54E22D0E3568DC1BA54FC67C5882CDF39ED9A3BAC55800E090DD1738D0876492","Reviewed but omitted from simplified final repository"
"Spectrum-Aided-Vision-Classification","Models\Final_Model\best.pt.encrypted","Model\Classification\best.pt.encrypted","8859696","E9426782CB063B8399C805B555758C760EFE6FF53A171E028A4255A4022638C7","Copied"
"Spectrum-Aided-Vision-Classification","Models\Final_Model\nor_wli_nbi_table.npy","Model\Classification\nor_wli_nbi_table.npy","67108992","5ED9DFE065C8155D0C47FD6C5504379EE18D1F119CD862F7116BA23F3B0A386E","Copied"
"Spectrum-Aided-Vision-Classification","Models\README.md","","305","6B8297CA80B129ACEE2196AE4D4FCB45F73FBF62C31A759266B6B2E92BC342A4","Reviewed but omitted from simplified final repository"
"Spectrum-Aided-Vision-Classification","Outputs\Demo_Video\output_video.mp4","Screenshot\Demo_Video\Classification_Demo.mp4","6955296","9588C5653D1A9D5B26291E1F3EDD06BAE8284681920C23B6BC6A0F494A629043","Copied"
"Spectrum-Aided-Vision-Classification","Outputs\README.md","","513","71EF7613882CE1685276954FD6F8BE9B1BCB96FF6B6780EB314AFCA52422D8C9","Reviewed but omitted from simplified final repository"
"Spectrum-Aided-Vision-Classification","README.md","","1328","FA493AE4A01D3B7D0970C30D01A4A4D233AF5B7AD230B7856A95CBF173177F02","Incorporated into generated root README.md"
"Spectrum-Aided-Vision-Classification","requirements.txt","","76","7480CB775EFCE59C0638DB83DA24D4616E823BCCF5672FD4F8C94C053C256CF4","Merged and deduplicated into root requirements.txt"
"Spectrum-Aided-Vision-Detection",".gitattributes","","171","5540A51CACD2B0E72BBBDB81D317A5AD70F619DBBE1BC0592B6F4E41D6B5FB84","Incorporated into generated root .gitattributes"
"Spectrum-Aided-Vision-Detection",".gitignore","","74","0373B58F5B60E2A27B0FDD72CCB1FE5D6A913D309AB0D517AFA246AF58C4F967","Incorporated into generated root .gitignore"
"Spectrum-Aided-Vision-Detection","App\Installer\SAVE_Detection_App_Installer.exe","SRC\Installer\Detection\SAVE_Detection_App_Installer.exe","231176729","EE164DDE934C120D917E3BEC0BE1E21DAF96A2827E4750FB98D9E7A9177B5A8B","Copied"
"Spectrum-Aided-Vision-Detection","App\ISS\Spectrum-Aided-Vision-Detection.iss","SRC\Installer\Detection\Spectrum-Aided-Vision-Detection.iss","877","E14111C6DED3D9590C558C504E4330EFE8C8E91D92CEAA03919E05D2C4684F88","Copied"
"Spectrum-Aided-Vision-Detection","App\README.md","","558","B4413CAB7027D017887ACDDCAE138243853B174BD4305500C7E47E1DF91FA4FE","Reviewed but omitted from simplified final repository"
"Spectrum-Aided-Vision-Detection","App\Source Code\app.py","SRC\Detection_App\app.py","19823","4C91C9668689FADA8C7F86C325FD84BB8A14BC6AD16B962A07E146716EDF9757","Copied; model path adjusted for merged repository layout"
"Spectrum-Aided-Vision-Detection","App\Source Code\app.spec","SRC\Detection_App\app.spec","774","F9CAF7AF1C449E7F032291C30FF3A11E203EBD2459B4F60A7CC8D74EACECFC1D","Copied"
